City,Country,Latitude,Longitude,Max Temp (F),Humidity (%),Wind Speed (mph),Cloudiness
Port Alfred,ZA,-33.59,26.89,61.93,87,16.22,78
Vaini,TO,-21.2,-175.2,75.2,88,19.46,75
New Norfolk,AU,-42.78,147.06,63.0,62,3.0,99
Nikolskoye,RU,59.7,30.79,37.0,94,6.71,75
Rikitea,PF,-23.12,-134.97,74.55,79,20.22,100
Kahului,US,20.89,-156.47,89.6,55,12.75,40
Arraial do Cabo,BR,-22.97,-42.03,70.14,81,14.14,48
Tuktoyaktuk,CA,69.45,-133.04,15.8,85,8.05,5
Busselton,AU,-33.65,115.33,78.01,32,2.89,0
Sokoto,NG,13.06,5.24,79.21,66,6.46,0
Havøysund,NO,71.0,24.66,28.4,100,6.93,100
Ushuaia,AR,-54.8,-68.3,41.0,86,11.41,90
Bilibino,RU,68.05,166.44,20.75,94,2.46,96
Lebu,CL,-37.62,-73.65,49.73,95,3.74,18
Ponta do Sol,PT,32.67,-17.1,69.8,68,14.99,40
Nishihara,JP,26.18,127.76,84.2,54,12.75,20
Wau,SS,7.7,28.0,70.57,97,3.87,99
Albany,US,42.6,-73.97,41.0,86,4.7,1
Mar del Plata,AR,-38.0,-57.56,64.4,88,8.05,0
Khatanga,RU,71.97,102.5,8.22,91,8.7,35
Atuona,PF,-9.8,-139.03,78.37,76,14.12,2
Huaibei,CN,33.97,116.79,70.0,40,2.91,100
Ribeira Grande,PT,38.52,-28.7,62.31,59,12.21,34
Beyneu,KZ,45.32,55.2,58.06,31,7.87,0
Kapaa,US,22.08,-159.32,77.0,88,6.93,75
Bengkulu,ID,-3.8,102.27,80.29,76,2.04,92
Esim,GH,4.87,-2.24,76.44,91,5.66,99
Lakselv,NO,70.05,24.97,32.0,92,12.75,28
Punta Arenas,CL,-53.15,-70.92,41.0,93,10.29,72
Brae,GB,60.4,-1.35,41.0,66,10.29,76
Talaya,RU,61.38,152.75,27.46,82,9.19,57
Magadan,RU,59.57,150.8,34.68,91,6.06,100
Zelenets,RU,61.88,50.75,32.0,97,8.95,75
Port Moresby,PG,-9.44,147.18,89.6,66,11.41,40
Bredasdorp,ZA,-34.53,20.04,51.8,93,1.12,100
Wagga Wagga,AU,-35.12,147.37,64.99,55,11.41,1
Mataura,NZ,-46.19,168.86,54.0,65,8.01,78
Hilo,US,19.73,-155.09,82.4,61,13.87,90
Butaritari,KI,3.07,172.79,82.27,78,19.66,20
Bluff,NZ,-46.6,168.33,54.0,65,8.01,61
Esik,KZ,43.36,77.45,57.2,35,2.24,0
Castro,BR,-24.79,-50.01,49.95,97,8.32,47
La Ronge,CA,55.1,-105.28,24.8,79,16.11,90
Barrow,US,71.29,-156.79,19.4,73,12.75,1
Berlevåg,NO,70.86,29.09,37.81,74,11.79,99
Labuhan,ID,-6.88,112.21,86.31,54,5.08,88
Pevek,RU,69.7,170.31,29.5,98,13.35,100
Avarua,CK,-21.21,-159.78,77.0,69,14.99,93
Bolivar,US,37.61,-93.41,63.0,36,13.31,61
Hobart,AU,-42.88,147.33,63.0,51,5.82,75
Bathsheba,BB,13.22,-59.52,77.0,88,14.99,40
Rio Grande,BR,-32.03,-52.1,64.29,88,14.58,100
Mandera,KE,3.94,41.87,78.28,67,9.19,74
Mhlambanyatsi,SZ,-26.45,31.02,66.33,49,5.77,9
Sisimiut,GL,66.94,-53.67,37.26,84,8.12,86
Kavieng,PG,-2.57,150.8,85.06,71,6.73,22
Kutum,SD,14.2,24.67,72.25,22,8.72,54
Baikunthpur,IN,23.25,82.55,82.22,66,3.18,86
Praia da Vitória,PT,38.73,-27.07,59.0,72,9.75,20
Mehamn,NO,71.04,27.85,36.9,77,10.2,85
Nizwá,OM,22.93,57.53,81.84,12,5.48,24
College,US,64.86,-147.8,24.01,53,3.33,40
Diffa,NE,13.32,12.61,83.59,20,7.31,2
Tuatapere,NZ,-46.13,167.68,54.0,65,8.01,94
Port Lincoln,AU,-34.73,135.87,57.78,56,9.82,19
Hamilton,US,39.18,-84.53,52.0,49,3.36,1
Upernavik,GL,72.79,-56.15,35.42,93,17.72,100
Quatre Cocos,MU,-20.21,57.76,77.0,83,2.24,75
Puerto Ayora,EC,-0.74,-90.35,71.01,86,5.01,85
Esperance,AU,-33.87,121.9,68.0,49,10.29,22
Hinton,CA,53.4,-117.59,12.83,91,1.45,12
Salalah,OM,17.02,54.09,71.6,49,4.7,0
Hermanus,ZA,-34.42,19.23,53.01,95,1.01,66
Yellowknife,CA,62.46,-114.35,25.0,92,10.29,75
San-Pédro,CI,4.75,-6.64,75.76,92,4.38,66
Vuktyl,RU,63.86,57.31,27.5,97,8.55,24
San Patricio,US,28.02,-97.52,77.0,88,11.41,1
Baruun-Urt,MN,46.68,113.28,45.41,53,15.05,0
Dikson,RU,73.51,80.55,18.0,93,24.2,1
Inta,RU,66.03,60.17,28.6,97,16.13,80
Jamestown,US,42.1,-79.24,44.01,48,8.05,1
Fortuna,US,40.6,-124.16,55.4,87,6.93,1
Saint Paul Harbor,US,57.79,-152.41,44.6,70,3.36,90
Cockburn Town,TC,21.46,-71.14,83.82,78,21.45,81
Noumea,NC,-22.28,166.46,80.6,47,13.87,20
Waingapu,ID,-9.66,120.26,87.49,53,10.67,6
Douglas,US,41.3,-96.17,46.99,70,18.34,75
Kaitangata,NZ,-46.28,169.85,50.95,68,6.11,90
Leningradskiy,RU,69.38,178.42,23.29,88,7.7,0
Imbituba,BR,-28.24,-48.67,64.4,93,1.12,20
Uauá,BR,-9.84,-39.48,66.67,85,13.8,5
Hithadhoo,MV,-0.6,73.08,83.37,77,21.34,97
Itoman,JP,26.12,127.67,84.2,65,21.92,20
Saldanha,ZA,-33.01,17.94,53.6,81,3.36,51
Qaanaaq,GL,77.48,-69.36,35.6,84,7.25,99
Līsakovsk,KZ,52.54,62.49,36.3,77,5.37,0
Bud,US,39.45,-86.18,53.01,43,9.17,1
Caravelas,BR,-17.71,-39.25,72.09,81,7.0,72
Hofn,IS,64.25,-15.21,40.48,82,3.94,100
Cheb,CZ,50.08,12.37,39.99,96,1.01,45
Norman Wells,CA,65.28,-126.83,12.2,66,4.7,5
Bauchi,NG,10.5,10.0,73.06,75,2.8,10
Nuuk,GL,64.18,-51.72,42.8,87,3.36,100
Bonavista,CA,48.65,-53.11,46.99,85,11.01,100
Chokurdakh,RU,70.63,147.92,23.36,98,6.76,99
Lorengau,PG,-2.02,147.27,85.69,64,9.28,10
Boende,CD,-0.22,20.87,70.3,95,0.72,99
Acopiara,BR,-6.1,-39.45,71.11,92,3.89,24
İslahiye,TR,37.02,36.63,71.01,58,5.82,6
Shelburne,CA,44.08,-80.2,44.01,75,3.36,90
Rocha,UY,-34.48,-54.33,63.7,74,10.0,83
Linhares,BR,-19.39,-40.07,67.91,85,4.38,96
Galle,LK,6.04,80.22,82.71,74,14.38,100
Zeya,RU,53.75,127.27,31.64,78,8.55,0
Tasiilaq,GL,65.61,-37.64,46.4,39,25.28,3
Lompoc,US,34.64,-120.46,64.0,93,3.36,1
Souillac,MU,-20.52,57.52,71.6,83,2.24,75
Provideniya,RU,64.38,-173.3,35.31,88,1.77,44
Dubbo,AU,-32.25,148.62,71.6,64,10.29,75
Bairiki Village,KI,1.33,172.98,86.0,66,13.87,20
Bandarbeyla,SO,9.49,50.81,81.19,71,10.89,0
Almaznyy,RU,48.04,40.05,60.8,59,6.71,20
Portland,US,45.52,-122.68,59.0,77,3.18,75
Saint-Augustin,CA,51.23,-58.65,57.33,86,19.35,87
Svetlaya,RU,46.54,138.33,55.96,48,13.35,9
Mount Gambier,AU,-37.83,140.77,57.2,58,12.75,90
Riyadh,SA,24.69,46.72,60.8,29,2.24,0
Ruteng,ID,-8.61,120.47,74.75,77,1.54,44
Willowmore,ZA,-33.29,23.49,57.56,62,2.68,70
Taoudenni,ML,22.68,-3.98,79.02,22,6.31,0
Lüderitz,NA,-26.65,15.16,65.89,36,15.84,22
La Reforma,MX,25.08,-108.05,84.0,82,3.27,0
Kruisfontein,ZA,-34.0,24.73,55.99,95,1.01,100
Aykhal,RU,66.0,111.5,12.2,92,2.24,0
Kieta,PG,-6.22,155.63,84.99,69,4.99,100
Kolda,SN,12.88,-14.95,78.8,94,3.44,4
